Outcop Name,well #,Depositional Environment,Depositional Element,X,Y,Bed ID,Data Type,Rock Type,Grain Size,Thickness (m),Bed Dip,Total Runout Length,Bed Termination,Rock Type (5 m right) ,Grain Size (5 m right),Thickness (m) (5 m right),Bed Dip (5 m right),Runout Length,Bed Termination,Rock Type (5 m left) ,Grain Size (5 m left),Thickness (m) (5 m left),Bed Dip (5 m left),Runout Length,Bed Termination,,,
Access,7,Delta,prodelta,2431.77,326.14,16,apparent dip,20-Sandstone structureless,very fine sand lower,0.202,0.21,1822.32,,20-Sandstone structureless,very fine sand lower,0.164,0.5,401.99,pinch out,20-Sandstone structureless,very fine sand lower,0.189,2.98,1420.33,truncated,,,
Access,8,Delta,prodelta,2577.7,370.7,16,apparent dip,20-Sandstone structureless,very fine sand upper,0.206,0.972,1822.32,,20-Sandstone structureless,very fine sand upper,0.183,3.23,247.92,pinch out,20-Sandstone structureless,very fine sand upper,0.171,0.89,1574.4,truncated,,,
Access,9,Delta,prodelta,2714.5,309.4,16,apparent dip,20-Sandstone structureless,very fine sand lower,0.227,1.42,1822.32,,20-Sandstone structureless,very fine sand lower,0.218,2.21,85.12,pinch out,20-Sandstone structureless,very fine sand lower,0.209,2.18,1737.2,truncated,,,
Fishpond,8,Delta,distal delta front,1612.8,560.1,16,apparent dip,17-Sandstone Stratified,very fine sand upper,1.117,1.75,1819.7,,17-Sandstone Stratified,very fine sand upper,N/A,N/A,1689.3,pinch out,17-Sandstone Stratified,very fine sand upper,0.96,1.2,130.4,truncated,,,
Fishpond,9,Delta,prximal delta front,1466.92,517.79,16,apparent dip,20-Sandstone structureless,fine sand lower,2.254,3.2,1826.98,,20-Sandstone structureless,fine sand lower,2.041,1.76,1537.3,pinch out,20-Sandstone structureless,fine sand lower,2.234,4.46,289.68,truncated,,,
Fishpond,1,Delta,distal delta front,1079.4,1337.48,66,apparent dip,20-Sandstone structureless,very fine sand upper,1.814,2.58,2001.72,,20-Sandstone structureless,very fine sand upper,1.623,2.3,1271.38,pinch out,20-Sandstone structureless,very fine sand upper,1.832,2.08,730.34,,Left goes to end of outcrop powerplant,,
Fishpond,2,Delta,distal delta front,1183.3,1229.45,66,apparent dip,17-Sandstone Stratified,very fine sand upper,1.507,3.83,2001.72,,17-Sandstone Stratified,very fine sand upper,1.453,3.43,1119.38,pinch out,17-Sandstone Stratified,very fine sand upper,1.613,4.1,882.34,,left side-outcropextent (powerplant),,
Fishpond,3,Delta,distal delta front,1267.21,1102.65,66,apparent dip,17-Sandstone Stratified,very fine sand upper,0.907,3.04,2001.72,,17-Sandstone Stratified,very fine sand upper,0.842,1.7,967.38,pinch out,17-Sandstone Stratified,very fine sand upper,1.008,3.56,1034.34,,left goes to end of outcrop (powerplant),,
Fishpond,4,Delta,distal delta front,1403.75,1038.5,66,apparent dip,20-Sandstone structureless,very fine sand upper,0.791,2.78,2001.72,,20-Sandstone structureless,very fine sand upper,0.796,0.8,815.38,pinch out,20-Sandstone structureless,very fine sand upper,0.804,1.75,1186.34,,left goes to end of outcrop (powerplant),,
Fishpond,5,Delta,distal delta front,1522.64,947.21,66,apparent dip,20-Sandstone structureless,very fine sand upper,1.265,1.9,2001.72,,20-Sandstone structureless,very fine sand upper,1.025,3.1,663.38,pinch out,20-Sandstone structureless,very fine sand upper,0.936,2.9,1338.34,,left side goes to end of outcrop (Powerplant),,
Fishpond,8,Delta,prodelta,1612.8,560.1,66,apparent dip,20-Sandstone structureless,very fine sand lower,0.197,2.69,2001.72,,20-Sandstone structureless,very fine sand lower,0.228,2.62,207.38,pinch out,20-Sandstone structureless,very fine sand lower,0.203,3.12,1794.34,,left goes to end of outcrop (powerplant),,
Powerplant,2,Delta,prximal delta front,1026,1533.4,66,apparent dip,17-Sandstone Stratified,fine sand upper,1.982,6.73,2001.72,,17-Sandstone Stratified,fine sand upper,2.04,4.22,1689.26,pinch out,17-Sandstone Stratified,fine sand upper,2.139,5.83,312.46,,,left-outcrop extent,right-goes to fishpond
Powerplant,1,Delta,prximal delta front,1080.94,1672.94,66,apparent dip,20-Sandstone structureless,fine sand upper,2.329,5.69,2001.72,,20-Sandstone structureless,fine sand upper,2.505,5.15,1855.95,pinch out,20-Sandstone structureless,fine sand upper,2.26,5.99,145.77,,,left - outcrop extent ,right- outcrop extent
